"id","displaypath","source","status","grouping","parent_grouping","description","top_5","downtime_calc"
27,Alarm 004.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 4/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"004: Zone 03 is stopped",Y,Y
28,Alarm 010.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 10/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"010: Fire Alarm",Y,Y
29,Alarm 010.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 10/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"010: Fire Alarm",Y,Y
30,Alarm 011.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 11/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"011 Communication Error With Transfer Car 1 Pos.301",Y,Y
31,Alarm 011.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 11/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"011: Communication Error With Transfer Car 1 Pos.301",Y,Y
32,Alarm 012.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 12/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"012: Communication Error With Transfer Car 2 Pos.401",Y,Y
33,Alarm 015.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 15/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"015: Communication Error With WCS",Y,Y
34,Alarm 015.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 15/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"015: Communication Error With WCS",Y,Y
35,Alarm 016.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 16/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"016: System is Offline.",Y,Y
36,Alarm 016.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 16/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"016: System is Offline.",Y,Y
37,Alarm 017.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 17/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"017: Communication Telegram Frame Error With WCS",Y,Y
38,Alarm 017.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 17/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"017: Communication Telegram Frame Error With WCS",Y,Y
39,Alarm 020.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 20/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"020: Data Edit Active in Zone 01, LPF",Y,Y
40,Alarm 020.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 20/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"020: Data Edit Active in Zone 01, LPF",Y,Y
41,Alarm 021.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 21/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"021: Data Edit Active in Zone 02, LP2",Y,Y
42,Alarm 021.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 21/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"021: Data Edit Active in Zone 02, LP2",Y,Y
43,Alarm 022.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 22/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"022: Data Edit Active in Zone 03, Transfer Car Pos.301",Y,Y
44,Alarm 022.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 22/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"022: Data Edit Active in Zone 03, Transfer Car Pos.301",Y,Y
45,Alarm 030.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 30/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"030: Manuel zone 01, LPF",Y,Y
46,Alarm 030.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 30/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"030: Manuel zone 01, LPF",Y,Y
47,Alarm 032.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 32/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"032: Manuel zone 03, Transfer Car Pos.301",Y,Y
48,Alarm 032.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 32/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"032: Manuel zone 03, Transfer Car Pos.301",Y,Y
49,Alarm 033.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 33/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"033: Manuel zone 03, Transfer Car Pos.401",Y,Y
50,Alarm 040.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 40/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"040: Interlock on T-Cars Layerpicker 1 Head Is To Low In Unknown Position, Raise Head To Top Position",Y,Y
51,Alarm 040.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 40/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"040: Interlock on T-Cars Layerpicker 1 Head Is To Low In Unknown Position, Raise Head To Top Position",Y,Y
52,Alarm 042.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 42/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"042: Interlock on T-Car 1  Layerpicker Head Is To Low",Y,Y
53,Alarm 042.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 42/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"042: Interlock on T-Car 1  Layerpicker Head Is To Low",Y,Y
54,Alarm 043.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 43/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"043: Interlock on T-Car 2  Layerpicker Head Is To Low",Y,Y
55,Alarm 045.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 45/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"045: Interlock on T-Cars 1  Layer Dropped In Ailse",Y,Y
56,Alarm 045.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 45/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"045: Interlock on T-Cars 1  Layer Dropped In Ailse",Y,Y
57,Alarm 046.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 46/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2, 046: Interlock on T-Cars 2  Layer Dropped In Ailse,Y,Y
58,Alarm 050.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 50/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"050: Trip fuse F11 in panel AK1, fuse 230V outlet",Y,Y
59,Alarm 050.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 50/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"050: Trip fuse F11 in panel AK1, fuse 230V outlet",Y,Y
60,Alarm 100.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 100/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"100: Comm. failure at EthernetIP. Communication to the Gantry 1 PLC",Y,Y
61,Alarm 100.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 100/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"100: Comm. failure at EthernetIP. Communication to the Gantry 1 PLC",Y,Y
62,Alarm 102.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 102/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"102: Comm. failure at EthernetIP. Communication to the Transfer Car 1 PLC Pos.301",Y,Y
63,Alarm 102.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 102/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"102: Comm. failure at EthernetIP. Communication to the Transfer Car 1 PLC Pos.301",Y,Y
64,Alarm 103.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 103/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"103: Comm. failure at EthernetIP. Communication to the Transfer Car 2 PLC Pos.401",Y,Y
65,Alarm 106.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 106/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"106: Comm. Failure at Device Level Ring Floor Level",Y,Y
66,Alarm 106.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 106/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"106: Comm. Failure at Device Level Ring Floor Level",Y,Y
67,Alarm 107.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 107/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"107: Comm. Failure at Device Level Ring Layerpicker 1",Y,Y
68,Alarm 107.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 107/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"107: Comm. Failure at Device Level Ring Layerpicker 1",Y,Y
69,Alarm 109.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 109/Alarm:/alm:Alarm,Down,LP_System02,Gantry System2,"109: Alarm text",Y,Y
70,Alarm 109.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 109/Alarm:/alm:Alarm,Down,LP_System01,Gantry System1,"109: Alarm text",Y,Y
71,Alarm 110.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 110/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"110: T-Car Pick job failed, there is Data on the T-Car - Pos.301",Y,Y
72,Alarm 110.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 110/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"110: T-Car Pick job failed, there is Data on the T-Car - Pos.301",Y,Y
73,Alarm 111.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 111/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"111: T-Car Pick job failed, there is no Data at pick up position - Pos.301",Y,Y
74,Alarm 111.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 111/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"111: T-Car Pick job failed, there is no Data at pick up position - Pos.301",Y,Y
75,Alarm 112.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 112/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"112: T-Car Pick job failed, Pick positions Destination is Wrong - Pos.301",Y,Y
76,Alarm 112.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 112/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"112: T-Car Pick job failed, Pick positions Destination is Wrong - Pos.301",Y,Y
77,Alarm 113.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 113/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"113: T-Car Pick job failed, Pick positions T-Car No is Wrong - Pos.301",Y,Y
78,Alarm 113.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 113/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"113: T-Car Pick job failed, Pick positions T-Car No is Wrong - Pos.301",Y,Y
79,Alarm 114.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 114/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"114: T-Car Pick job failed, Pick Job was changed - Pos.301",Y,Y
80,Alarm 114.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 114/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"114: T-Car Pick job failed, Pick Job was changed - Pos.301",Y,Y
81,Alarm 115.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 115/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"115: T-Car Pick job failed, Pick Job ID is Wrong or Lost - Pos.301",Y,Y
82,Alarm 115.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 115/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"115: T-Car Pick job failed, Pick Job ID is Wrong or Lost - Pos.301",Y,Y
83,Alarm 116.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 116/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"116: T-Car Pick job failed, Operation Position is Wrong - Pos.301",Y,Y
84,Alarm 116.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 116/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"116: T-Car Pick job failed, Operation Position is Wrong - Pos.301",Y,Y
85,Alarm 117.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 117/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"117: T-Car Pick job failed, AID / SSCC is Wrong - Pos.301",Y,Y
86,Alarm 117.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 117/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"117: T-Car Pick job failed, AID / SSCC is Wrong - Pos.301",Y,Y
87,Alarm 118.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 118/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"118: T-Car Pick Job from P&D failed, There is No WCS Job - Pos.301",Y,Y
88,Alarm 118.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 118/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"118: T-Car Pick Job from P&D failed, There is No WCS Job - Pos.301",Y,Y
89,Alarm 119.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 119/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"119: T-Car Pick Job from Infeed failed, There is No WCS Job - Pos.301",Y,Y
90,Alarm 119.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 119/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"119: T-Car Pick Job from Infeed failed, There is No WCS Job - Pos.301",Y,Y
91,Alarm 120.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 120/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"120: T-Car Deposit job failed, there is Data on the Deposit position - Pos.301",Y,Y
92,Alarm 120.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 120/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"120: T-Car Deposit job failed, there is Data on the Deposit position - Pos.301",Y,Y
93,Alarm 121.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 121/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"121: T-Car Deposit job failed, there is No Data on the T-Car - Pos.301",Y,Y
94,Alarm 121.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 121/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"121: T-Car Deposit job failed, there is No Data on the T-Car - Pos.301",Y,Y
95,Alarm 122.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 122/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"122: T-Car Deposit job failed, T-Cars Destination is Wrong - Pos.301",Y,Y
96,Alarm 122.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 122/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"122: T-Car Deposit job failed, T-Cars Destination is Wrong - Pos.301",Y,Y
97,Alarm 123.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 123/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"123: T-Car Deposit job failed, T-Cars T-Car No is Wrong - Pos.301",Y,Y
98,Alarm 123.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 123/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"123: T-Car Deposit job failed, T-Cars T-Car No is Wrong - Pos.301",Y,Y
99,Alarm 124.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 124/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"124: T-Car Deposit job failed, Deposit Job was changed - Pos.301",Y,Y
100,Alarm 124.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 124/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"124: T-Car Deposit job failed, Deposit Job was changed - Pos.301",Y,Y
101,Alarm 125.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 125/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"125: T-Car Deposit job failed, Deposit Job ID is Wrong or Lost - Pos.301",Y,Y
102,Alarm 125.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 125/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"125: T-Car Deposit job failed, Deposit Job ID is Wrong or Lost - Pos.301",Y,Y
103,Alarm 126.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 126/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"126: T-Car Deposit job failed, Operation Position is Wrong - Pos.301",Y,Y
104,Alarm 126.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 126/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"126: T-Car Deposit job failed, Operation Position is Wrong - Pos.301",Y,Y
105,Alarm 127.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 127/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"127: T-Car Deposit job failed, AID / SSCC is Wrong - Pos.301",Y,Y
106,Alarm 127.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 127/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"127: T-Car Deposit job failed, AID / SSCC is Wrong - Pos.301",Y,Y
107,Alarm 128.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 128/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"128: T-Car Deposit Job to P&D failed, There is No WCS Job - Pos.301",Y,Y
108,Alarm 128.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 128/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"128: T-Car Deposit Job to P&D failed, There is No WCS Job - Pos.301",Y,Y
109,Alarm 129.Alarm,prov:default:/tag:L2/Riantics/System1_Alarms/Alarm 129/Alarm:/alm:Alarm,Down,Tcar_301 East,Gantry System1,"129: T-Car Deposit Job to Outfeed failed, There is No WCS Job - Pos.301",Y,Y
110,Alarm 129.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 129/Alarm:/alm:Alarm,Down,Tcar_301 West,Gantry System2,"129: T-Car Deposit Job to Outfeed failed, There is No WCS Job - Pos.301",Y,Y
111,Alarm 130.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 130/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"130: T-Car Pick job failed, there is Data on the T-Car - Pos.401",Y,Y
112,Alarm 131.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 131/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"131: T-Car Pick job failed, there is no Data at pick up position - Pos.401",Y,Y
113,Alarm 132.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 132/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"132: T-Car Pick job failed, Pick positions Destination is Wrong - Pos.401",Y,Y
114,Alarm 133.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 133/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"133: T-Car Pick job failed, Pick positions T-Car No is Wrong - Pos.401",Y,Y
115,Alarm 134.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 134/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"134: T-Car Pick job failed, Pick Job was changed - Pos.401",Y,Y
116,Alarm 135.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 135/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"135: T-Car Pick job failed, Pick Job ID is Wrong or Lost - Pos.401",Y,Y
117,Alarm 136.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 136/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"136: T-Car Pick job failed, Operation Position is Wrong - Pos.401",Y,Y
118,Alarm 137.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 137/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"137: T-Car Pick job failed, AID / SSCC is Wrong - Pos.401",Y,Y
119,Alarm 138.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 138/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"138: T-Car Pick Job from P&D failed, There is No WCS Job - Pos.401",Y,Y
120,Alarm 139.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 139/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"139: T-Car Pick Job from Infeed failed, There is No WCS Job - Pos.401",Y,Y
121,Alarm 140.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 140/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"140: T-Car Deposit job failed, there is Data on the Deposit position - Pos.401",Y,Y
122,Alarm 141.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 141/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"141: T-Car Deposit job failed, there is No Data on the T-Car - Pos.401",Y,Y
123,Alarm 142.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 142/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"142: T-Car Deposit job failed, T-Cars Destination is Wrong - Pos.401",Y,Y
124,Alarm 143.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 143/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"143: T-Car Deposit job failed, T-Cars T-Car No is Wrong - Pos.401",Y,Y
125,Alarm 144.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 144/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"144: T-Car Deposit job failed, Deposit Job was changed - Pos.401",Y,Y
126,Alarm 145.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 145/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"145: T-Car Deposit job failed, Deposit Job ID is Wrong or Lost - Pos.401",Y,Y
127,Alarm 146.Alarm,prov:default:/tag:L2/Riantics/System2_Alarms/Alarm 146/Alarm:/alm:Alarm,Down,TCar_401,Gantry System2,"146: T-Car Deposit job failed, Operation Position is Wrong - Pos.401",Y,Y
